timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-10-12T00:00:00.000Z";"2024-10-12T23:59:59.999Z";"2024-10-12T06:49:00.000Z";"2024-10-12T10:10:00.000Z";"2781";0.0421897749;0.0424254353;0.0397942753;0.040414487;1371.73;0;"2024-10-12T23:59:59.999Z"
"2024-10-11T00:00:00.000Z";"2024-10-11T23:59:59.999Z";"2024-10-11T04:46:00.000Z";"2024-10-11T23:52:00.000Z";"2781";0.0438443189;0.0471848069;0.0421873533;0.0421897749;3413.82;0;"2024-10-11T23:59:59.999Z"
"2024-10-10T00:00:00.000Z";"2024-10-10T23:59:59.999Z";"2024-10-10T12:36:00.000Z";"2024-10-10T21:59:00.000Z";"2781";0.0450508073;0.0492477592;0.0437282543;0.0438443189;532.63;0;"2024-10-10T23:59:59.999Z"
"2024-10-09T00:00:00.000Z";"2024-10-09T23:59:59.999Z";"2024-10-09T20:55:00.000Z";"2024-10-09T00:45:00.000Z";"2781";0.0373919662;0.0450611733;0.0373810104;0.0450508073;2907.8;0;"2024-10-09T23:59:59.999Z"
"2024-10-08T00:00:00.000Z";"2024-10-08T23:59:59.999Z";"2024-10-08T03:30:00.000Z";"2024-10-08T21:20:00.000Z";"2781";0.0405279336;0.0431064633;0.0373003674;0.0373919662;2747.78;0;"2024-10-08T23:59:59.999Z"
"2024-10-07T00:00:00.000Z";"2024-10-07T23:59:59.999Z";"2024-10-07T14:26:00.000Z";"2024-10-07T21:28:00.000Z";"2781";0.0419657921;0.0441334235;0.0390126645;0.0405279336;2343.42;0;"2024-10-07T23:59:59.999Z"
"2024-10-06T00:00:00.000Z";"2024-10-06T23:59:59.999Z";"2024-10-06T06:40:00.000Z";"2024-10-06T14:14:00.000Z";"2781";0.0436204879;0.0467838158;0.0396551706;0.0419657921;5729.19;0;"2024-10-06T23:59:59.999Z"
"2024-10-05T00:00:00.000Z";"2024-10-05T23:59:59.999Z";"2024-10-05T23:56:00.000Z";"2024-10-05T03:07:00.000Z";"2781";0.0415594653;0.0465067197;0.0415426491;0.0436204879;3184.51;0;"2024-10-05T23:59:59.999Z"
"2024-10-04T00:00:00.000Z";"2024-10-04T23:59:59.999Z";"2024-10-04T16:01:00.000Z";"2024-10-04T22:01:00.000Z";"2781";0.0456959777;0.0472409787;0.0408033817;0.0415594653;5553.42;0;"2024-10-04T23:59:59.999Z"
"2024-10-03T00:00:00.000Z";"2024-10-03T23:59:59.999Z";"2024-10-03T00:02:00.000Z";"2024-10-03T22:28:00.000Z";"2781";0.0528411847;0.0528426806;0.0456831827;0.0456959777;1860.89;0;"2024-10-03T23:59:59.999Z"
"2024-10-02T00:00:00.000Z";"2024-10-02T23:59:59.999Z";"2024-10-02T22:13:00.000Z";"2024-10-02T11:13:00.000Z";"2781";0.041188812;0.0528504599;0.0403870694;0.0528411847;15313.78;0;"2024-10-02T23:59:59.999Z"
"2024-10-01T00:00:00.000Z";"2024-10-01T23:59:59.999Z";"2024-10-01T14:46:00.000Z";"2024-10-01T23:06:00.000Z";"2781";0.0490162979;0.0508631688;0.0411562728;0.041188812;10019.71;0;"2024-10-01T23:59:59.999Z"
"2024-09-30T00:00:00.000Z";"2024-09-30T23:59:59.999Z";"2024-09-30T00:13:00.000Z";"2024-09-30T18:40:00.000Z";"2781";0.0524740949;0.0524790638;0.0484956548;0.0490162979;627.03;0;"2024-09-30T23:59:59.999Z"
"2024-09-29T00:00:00.000Z";"2024-09-29T23:59:59.999Z";"2024-09-29T20:10:00.000Z";"2024-09-29T06:46:00.000Z";"2781";0.0503510539;0.0524887747;0.0470061708;0.0524740949;7161.87;0;"2024-09-29T23:59:59.999Z"
"2024-09-28T00:00:00.000Z";"2024-09-28T23:59:59.999Z";"2024-09-28T04:40:00.000Z";"2024-09-28T03:25:00.000Z";"2781";0.0487783134;0.0519432929;0.0487589791;0.0503510539;695.59;0;"2024-09-28T23:59:59.999Z"
"2024-09-27T00:00:00.000Z";"2024-09-27T23:59:59.999Z";"2024-09-27T15:45:00.000Z";"2024-09-27T23:58:00.000Z";"2781";0.0536850434;0.0537028146;0.0487779572;0.0487783134;2028.3;0;"2024-09-27T23:59:59.999Z"
"2024-09-26T00:00:00.000Z";"2024-09-26T23:59:59.999Z";"2024-09-26T15:52:00.000Z";"2024-09-26T09:25:00.000Z";"2781";0.049973941;0.057184787;0.0481816849;0.0536850434;6359.14;0;"2024-09-26T23:59:59.999Z"
"2024-09-25T00:00:00.000Z";"2024-09-25T23:59:59.999Z";"2024-09-25T04:01:00.000Z";"2024-09-25T01:22:00.000Z";"2781";0.0482785334;0.0515027623;0.0476315167;0.049973941;2175.71;0;"2024-09-25T23:59:59.999Z"
"2024-09-24T00:00:00.000Z";"2024-09-24T23:59:59.999Z";"2024-09-24T00:43:00.000Z";"2024-09-24T21:47:00.000Z";"2781";0.0526158969;0.0529331898;0.047759429;0.0482785334;4027.75;0;"2024-09-24T23:59:59.999Z"
"2024-09-23T00:00:00.000Z";"2024-09-23T23:59:59.999Z";"2024-09-23T01:21:00.000Z";"2024-09-23T15:16:00.000Z";"2781";0.053168551;0.0541083492;0.0446048087;0.0526158969;7865.24;0;"2024-09-23T23:59:59.999Z"
"2024-09-22T00:00:00.000Z";"2024-09-22T23:59:59.999Z";"2024-09-22T03:40:00.000Z";"2024-09-22T06:04:00.000Z";"2781";0.0542391112;0.056150115;0.0522358317;0.053168551;1953.31;0;"2024-09-22T23:59:59.999Z"
"2024-09-21T00:00:00.000Z";"2024-09-21T23:59:59.999Z";"2024-09-21T00:30:00.000Z";"2024-09-21T07:31:00.000Z";"2781";0.0548695266;0.0549209591;0.0502658751;0.0542391112;1972.18;0;"2024-09-21T23:59:59.999Z"
"2024-09-20T00:00:00.000Z";"2024-09-20T23:59:59.999Z";"2024-09-20T07:56:00.000Z";"2024-09-20T13:48:00.000Z";"2781";0.0535449299;0.0557318064;0.0493143826;0.0548695266;4973.92;0;"2024-09-20T23:59:59.999Z"
"2024-09-19T00:00:00.000Z";"2024-09-19T23:59:59.999Z";"2024-09-19T23:33:00.000Z";"2024-09-19T04:42:00.000Z";"2781";0.0522489352;0.0535596964;0.0480542625;0.0535449299;4232.68;0;"2024-09-19T23:59:59.999Z"
"2024-09-18T00:00:00.000Z";"2024-09-18T23:59:59.999Z";"2024-09-18T20:59:00.000Z";"2024-09-18T09:58:00.000Z";"2781";0.0480598134;0.0534507267;0.045174837;0.0522489352;6980.34;0;"2024-09-18T23:59:59.999Z"
"2024-09-17T00:00:00.000Z";"2024-09-17T23:59:59.999Z";"2024-09-17T07:18:00.000Z";"2024-09-17T10:30:00.000Z";"2781";0.0489504489;0.0515264989;0.0453830181;0.0480598134;4953.58;0;"2024-09-17T23:59:59.999Z"
"2024-09-16T00:00:00.000Z";"2024-09-16T23:59:59.999Z";"2024-09-16T16:13:00.000Z";"2024-09-16T12:32:00.000Z";"2781";0.0536986997;0.0560147159;0.047049471;0.0489504489;12787.57;0;"2024-09-16T23:59:59.999Z"
"2024-09-15T00:00:00.000Z";"2024-09-15T23:59:59.999Z";"2024-09-15T00:00:00.000Z";"2024-09-15T04:02:00.000Z";"2781";0.0568193366;0.0568193366;0.0495443526;0.0536986997;9006.91;0;"2024-09-15T23:59:59.999Z"
"2024-09-14T00:00:00.000Z";"2024-09-14T23:59:59.999Z";"2024-09-14T02:02:00.000Z";"2024-09-14T15:07:00.000Z";"2781";0.058013855;0.060356124;0.054765128;0.0568193366;6373.02;0;"2024-09-14T23:59:59.999Z"
"2024-09-13T00:00:00.000Z";"2024-09-13T23:59:59.999Z";"2024-09-13T17:25:00.000Z";"2024-09-13T05:00:00.000Z";"2781";0.0551953064;0.0588178741;0.0529087257;0.058013855;7692.19;0;"2024-09-13T23:59:59.999Z"
"2024-09-12T00:00:00.000Z";"2024-09-12T23:59:59.999Z";"2024-09-12T03:32:00.000Z";"2024-09-12T13:13:00.000Z";"2781";0.0579049395;0.060279787;0.0541972349;0.0551953064;9522.13;0;"2024-09-12T23:59:59.999Z"
"2024-09-11T00:00:00.000Z";"2024-09-11T23:59:59.999Z";"2024-09-11T13:09:00.000Z";"2024-09-11T10:58:00.000Z";"2781";0.0590490947;0.059300761;0.0549641917;0.0579049395;6276.41;0;"2024-09-11T23:59:59.999Z"
"2024-09-10T00:00:00.000Z";"2024-09-10T23:59:59.999Z";"2024-09-10T00:03:00.000Z";"2024-09-10T13:53:00.000Z";"2781";0.0616863012;0.0617004411;0.0584768897;0.0590490947;3138.51;0;"2024-09-10T23:59:59.999Z"
"2024-09-09T00:00:00.000Z";"2024-09-09T23:59:59.999Z";"2024-09-09T10:31:00.000Z";"2024-09-09T15:21:00.000Z";"2781";0.0610811477;0.0623743457;0.0590781052;0.0616863012;1612.46;0;"2024-09-09T23:59:59.999Z"
"2024-09-08T00:00:00.000Z";"2024-09-08T23:59:59.999Z";"2024-09-08T05:37:00.000Z";"2024-09-08T00:46:00.000Z";"2781";0.0583555045;0.0671309144;0.0582770522;0.0610811477;9718.77;0;"2024-09-08T23:59:59.999Z"
"2024-09-07T00:00:00.000Z";"2024-09-07T23:59:59.999Z";"2024-09-07T10:31:00.000Z";"2024-09-07T20:30:00.000Z";"2781";0.0614825102;0.0650198165;0.0539584818;0.0583555045;21560.26;0;"2024-09-07T23:59:59.999Z"
"2024-09-06T00:00:00.000Z";"2024-09-06T23:59:59.999Z";"2024-09-06T01:48:00.000Z";"2024-09-06T21:01:00.000Z";"2781";0.0681777247;0.0759983863;0.0611138262;0.0614825102;15499.93;0;"2024-09-06T23:59:59.999Z"
"2024-09-05T00:00:00.000Z";"2024-09-05T23:59:59.999Z";"2024-09-05T19:31:00.000Z";"2024-09-05T15:31:00.000Z";"2781";0.0678843465;0.0689942843;0.067330743;0.0681777247;1603.18;0;"2024-09-05T23:59:59.999Z"
"2024-09-04T00:00:00.000Z";"2024-09-04T23:59:59.999Z";"2024-09-04T00:28:00.000Z";"2024-09-04T18:31:00.000Z";"2781";0.0720606837;0.0721705308;0.0643012198;0.0678843465;5296.91;0;"2024-09-04T23:59:59.999Z"
